utterance,intentions
no i think thats all you have been very,bye
please find a place to go in the,recommendnamearea
what is the,informnamepostcodearea
yes i am also looking for a place to dine i want it to be expensive and in the north,requestfood
it doesnt matter  something that you would,recommendname
i like that can you book a table for 5 people at 1515 on,bookreference
i dont need anything else,bye
i need to book a hotel in the east that has 4 stars,requestpricerange
that doesnt matter as long as it has free wifi and,recommendpricerangename
could you book the wartworth for one night 1,requestday
friday and can you book it for me and get a reference number,bookreference
i am looking to book a train that is leaving from cambridge to bishops stortford on,requestleaveat
i want to get there by 1945 at the,offerbook
yes please i also need the travel time departure time and,offerbooktimereferenceticket
yes sorry but suddenly my plans changed can you change the wartworth booking to monday for 3 people and 4,bookreference
thank you very much,bye
am looking for information about leverton,informpricerangeinternettypeparkingareanamestars
i could also want to go to a place in town and this should be in a,informpricerangechoiceareatype
whats the one with the 5 pound entrance,informname
okay can you book a taxi to get me,requestleaveat
im looking for a place to go in the,requesttype
i actually havent been to cambridge before can you tell me a few types that might be in that,select
you pick something in the east for me  ill need the address postcode and entrance fee  im also wanting information on anatolia  thank,informtypenameaddresspostcodefee
okay lets book a table at the anatolia for monday at 1730 ill need it booked for 3,bookreference
come to think of it i think i may need a taxi to get me between the two can it get me from cherry hinton to anatolia by,informphonecar
thank you so much that is everything i will be putting you on my christmas card list you are,welcome
no that is all i need,bye
please help me with a,requestdestination
im going to pizza hut fen,requestdeparture
i am leaving from the beautiful saint catharines,requestleaveatarriveby
oh anytime after 1145 am would be,informphonecar
thanks thats all good,bye
i am looking for a train leaving from,requestdestination
ill be going to,requestleaveatarriveby
i would like to leave after 0815 on sunday,informtrainidleaveat
thats great can you tell me where architecture attractions are near the center of,informareaname
oh can you make a suggestion and get me the phone number address and entrance,informfeephoneaddressname
no you have been quite helpful  that is all i need to plan a great vacation  thanks and,bye
i am looking for a moderately priced chinese,requestareapricerange
how about the center in a moderate price,recommendname
yes please do they have any openings on monday at 1745 there will be 2 of,requesttime
hmm well ok how about at 1645,bookreference
no that will be,bye
hi can you tell me about some of the museums in,requestarea
can you recommend one to me and give me the,informnameaddress
what is the entrance,informfee
yes can you find a restaurant in the south that serves creative,requestfood
how about on that serves mexican,recommendname
yes could i book it for 5 people at 1200 on wednesday,booktimenamepeople
id like a restuarant with asian oriental food located in the centre,informfoodpricerangeareaname
yes could you just give me the contact information for the restaurant  phone address and,informphonenameaddresspostcode
no i think thats all i need,bye
i am looking for a train leaving after,requestdeparturedestinationday
ill be leaving stansted airport friday to head toward,requestleaveat
that would work for me can i get a train for 7,offerbookreferencetickettrainid
that is all thank you so,bye
hi im looking for a steakhouse,requestfood
what about asian oriental,recommendname
yes for four people on monday at,requesttime
how about 1400,booktimereferencepeopleday
i am also looking for a hotel  can you find the acorn guest,informarea
no i would just like a phone number  what area is that,informphoneareaname
great ill also need a taxi that will get me to the restaurant in time for that,requestdeparture
i will be going from the acorn house to the dojo noodle,informphonecar
thats all thank,bye
i am looking for a place to eat thats in the centre and serves turkish food can you help,informchoice
great can i get the address of one of,recommendnameaddress
i need the address post code and price range for the efes,informnameaddresspricerangepostcode
thanks i also need a train going to stevenage on,requestleaveat
well id like to get there by 1200 or a little before so is there a train at 0921 or 1021 ill need 1,informarrivebytrainiddestination
ok can i get one ticket,offerbookreference
nope thats everything,bye
hi i would like to purchase a train,requestdeparturedestinationday
i want to depart from london liverpool street on saturday leaving after 0830 to go to,informleaveattrainid
that sounds like it will work can you book 7 seats for us ill need a reference,offerbookreferencepeople
i also need to find a place to stay while there preferably something,requestarea
im flexible on the area but i really want a hotel instead of a guesthouse and i would like something with 4,select
do either of them have free,informchoice
i would like to book one of those for 2 nights,requestpeopleday
7 people on the same,requeststay
sure try just 1,booknamereference
yeah that works for me its also all i needed for today,bye
i would like help booking a taxi please i will need the taxi to pick me up at the peterborough train station at,requestdestination
i would like travel to the good luck chinese food takeaway i also need the contact number for the,informcarphone
that is all,bye
yes im looking for a train that departs on wednesday from,requestdestination
i would like to go to,requestleaveatarriveby
i want to leave after,offerbook
i dont need a ticket right now but could you tell me the travel time and,informtickettime
i changed my mind can you book that for me,offerbookreferenceticket
i am also looking for more info into a hotel the cambridge,informareapricerangestarsnametype
kindly find out if they have,inform
sure i will be staying wednesday and,requestpeople
i dont need it booked but whats the,informaddress
no that will be all thanks for all your help,bye
could you give me information about a restaurant called,informfoodpricerangeaddressnamepostcodephone
could you book a table for me there on,requesttimepeople
there will be 4 of us and we would like to eat at,requesttimeday
sure how about,informname
no thank you have a great,bye
im planning a trip can you help with find places to,requesttype
well i dont know what sorts of options are available i do need something located on the east,recommendname
what is the funky fun houses,informphone
can you find me a moderately priced british,recommendname
sounds great can you book me a table for 4,requesttime
please book a table at 1430 for 4 people on,bookreferencetimenamepeople
can you book a taxi for me i want to make sure i make it to cotto for that,informphonecar
thank you that is all i,bye
i need help with a particular hotel can you do,requestname
id like a hotel named warkworth house and am interested in booking for 8 people starting on,requestpeople
8 people for 3,requestday
does saturday,bookreference
could you give me information on cambridge and county folk,informfeephonetypeareaaddresspostcode
thank you id also like to get a taxi between these two,requestarrivebyleaveat
we want to leave the hotel by 2415 what is the contact number and car,informphonecarleaveat
thank you thats all i need,bye
im looking for a moderately priced guest house can you recommend,requestareaparkinginternet
i dont care about wifi or parking  to be honest i dont care what area it is in either  what would you,recommendtypepricerangename
sounds nice what is the address and postcode,informaddresspostcode
hmm what about,informname
sure that sounds good can i get their address and postcode,informaddresspostcode
thanks i also need a taxi between both locations,requestdepartureleaveat
i want to leave the hotel by,informphonecar
wow that was fast thanks  no that is all i needed  hope you have a wonderful day,bye
im looking for a cheap place to dine that serves danish,requestfood
ive got my heart set on danish but we could go a bit more expensive i,requestfood
how about asian oriental,informnamefoodpricerange
yes for 2 people at 1700 on,booktimereferencepeopleday
thanks that is all i need,bye
no that should do it,bye
im looking for a nightclub to visit in the centre,select
can i just get the address for ballare,informnameaddress
oh no that answered all my questions thanks,bye
im excited to be traveling to cambridge and would like to find some places to go in the centre of,requesttype
yes i would like a theatre in the,informnameaddressarea
yes i would like their phone,informphone
im also looking for the carolina bed and breakfast what area is it,informnamearea
no thats okay i just needed to know what area it was,informphone
no thanks  im all set youve been a great,bye
can you tell me about any cheap priced italian restaurants in,requestarea
id like a place in the,selectname
zizzi please can you book me for 6 people on saturday at,bookreference
thanks i also need to find a cheap,recommendnamepricerange
does it have free,informinternet
yes and i need the reference number also i need a taxi to arrive at the restaurant on time i would like the number and car type,requestpeople
there will be 6 people staying for two,requestday
we need to check in on,bookreferencestaydayname
yes please  i want to book if to get me to the restaurant on,informcarphone
i dont need anything else thank you,bye
i am going to cambridge and would like to leave after,offerbook
what is the travel time for,informtime
thats great i also need a hotel with free wifi i would prefer a 3 star place,requestarea
in the centre,informnamechoicetype
yes saturday 2 nights 6 people reference number,bookreference
no that is it thank,bye
ok  how about just european  any luck,requestpricerange
i would like to find a expensive one,select
whichever you recommend can i have the phone number postcode and address,recommendname
okay im looking for a train that departs from cambridge on tuesday and arrives by 0800 in london kings,selecttrainid
yes please reserve a spot and give me the reference number,requestpeople
i will need two,offerbookpeople
what is the booking reference,offerbookreference
no thank you for your help,bye
i need to find a place to stay i prefer a guesthouse and ill need free parking for my,recommendareaname
does it also have free,informnameinternet
yes can i get the address postcode and the number of stars it,informaddresspostcodestars
great thank you i am also looking to get some info on the broughton house,informtypeareafeename
yes i need the post code as well thanks,informphoneaddresspostcode
nope thanks so much for your,bye
im looking for a train the train should go to birmingham new street and should depart from,requestday
yes the train should arrive by 2130 and should depart on,requestleaveat
the one that arrives the closest to 2130 please i will need the price and the train,informtickettrainiddestinationarrivebyleaveatdeparture
thank you i am also looking for a place to stay that is in the north side of,informchoicearea
i would prefer a place with a star of 4 that includes free parking and free,informchoicetypepricerange
i would like a moderate hotel with free wifi and,informchoice
yes choose for me that sounds exciting try something new just decide and then give me the hoteltype price range and phone number this is so,informnamepricerangeaddressphone
i wouldnt like to book a stay today but thank you am i right in assuming that its a guesthouse and not a,informtype
no thats all thank,bye
hi i am looking for information on a restaurant its called saffron,informfoodpricerangeareaname
oh yes please i need a reservation for 5 people on saturday at 1800 i need  a reference number,bookreference
i am also looking for places to go while in town do you have a,requestarea
im not particular on the area is there one near saffron,informareaname
okay that will work what is the,informpostcode
great thank you can you also help me with getting a taxi from the restaurant to the,requestdeparture
i would like a taxi to pick us up from the restaurant at 2000 can you please give me the contact number and car type of the,informphonedeparturecar
no thats it thank you for your,greet
please find me a place to go in the,requesttype
whats the postcode for your favorite,informnamepostcodetypearea
thanks i am looking forward to checking it out can you help me in finding a guesthouse to stay at for,informchoicetype
yes i would like it to be a 3 star place in a moderate price range  also free,requestarea
no preference however i do need a guesthouse for 8 people for 3 nights starting on tuesday  once you have booked please provide the reference number  thank,recommendname
 8 people and 3 nights starting from,informreference
thanks i also need a taxi that will leave the man on the moon by,requestdestination
to bridge guest house,informphonecar
that is it have a great,welcome
im finished now thank,bye
i am looking for a train departing from cambridge leaving on,offerbook
i need one that leaves after 1330  for bishops,selecttrainid
and this train leaves from cambridge if so could you please book it for 7 people and give me the reference,offerbookreference
i am also looking for a place to eat around the centre area that serves gastropub style,recommendname
can i get the reference number for,requestdaytime
also tuesday at,requesttime
can you get a table for 7 at,bookreference
ok great thank you for all of your,greet
im looking for an expensive restaurant in the west part of,requestfood
the restaurant should serve british,informname
yes please and i will need their phone number for reference,informphone
im not sure yet can you tell me what trains are traveling to cambridge on,select
i need to arrive from stevenage by 1430 if,offerbookarrivebytrainid
do you have any arrive closer to 1430 time period if not i will just need the train id and departure,informarrivebytrainid
great thats all i need thank you for your help,bye
that sounds great can you book me a table there for 3,informphone
is there any other restaurant that you could try for me before i call,requestfood
as long as the seafood restaurant is in the centre i am fine with 1800 and i need the reference number i need a train arriving at cambridge by,requestday
im dining on,recommendname
i would like to be in cambridge by,offerbook
no thank you what is the price for that,informticket
the train booking is for the same day as my dinner reservation,greet
no thanks  i may be back in touch,bye
thank you good,bye
no surprise me it should be in the,recommendname
sure could you tell me the entrance fee and phone,informphonefee
what is the attraction,informtypename
it doesnt matter and it doesnt need to include,requestpeopleday
it will be 6 people 3 nights from wednesday,recommendname
can you please book a room at the acorn and if you can please provide the reference number i want to jot it down in case of any,bookreference
thanks so much  you have helped with everything i needed for now  have a nice day ,bye
can you find me a 4 star hotel with,requestarea
i would like it to be in the moderate price range,select
the area doesnt matter i need one that can accommodate 6 people for 3 nights starting on,bookreferencename
no thats all i need,bye
i need a place to,requestarea
no area but i need moderate prices and,selecttype
get me a 4 star hotel and whether they have free parking  and give me their phone,informphonename
is there some sort of concert hall in the,informname
i would need phone number entrance fee and,informfeephoneaddress
no thank you that will be all for,bye
i am looking for a place to dine the restaurant should be in the west and should serve thai,informfoodpricerangechoiceareaname
yes please i would like a reservation for 2 at 1900 on tuesday please provide a reference,bookreference
gosh im so sorry i dont want the reservation for the evening i want thai food for lunch do you have a table for 2 at 1230 on,informtimeday
yes  please book a table for,bookreference
thanks could you help me find a swimmingpool please that is also in the,requesttypearea
can you try an entertainment attraction instead ,recommendnamearea
that sounds great what is the,informpostcodename
no i think that is all i need today thank you for your,bye
i am going to cambridge and need a place to,requestareapricerange
a guesthouse would be nice it should have free wifi and parking and expensive price,requestpricerangetype
could you try one that is,requestarea
are any of those options that are cheap,informtypestarsnamepricerange
that sounds nice what area is that located in and what is their,informnameareaaddress
i need a train to,requestdaydeparture
yes the train should leave after 0815 and depart from london kings cross on,requestleaveat
there are no trains that leave after 0815 in the morning from london kings cross to cambridge on thursday it doesnt have to be 0815 exactly,offerbook
what time does it arrive and how much will it,informarrivebytrainidticket
okay thank you for that information that is all i need for,welcome
i am looking for a museum in the,informfeenamechoice
that one sounds great what is the phone,informphone
ill give them a call thanks are you also able to help with train,requestdestinationleaveatarrivebyday
i would like to leave on monday from cambridge to,requestleaveat
i need to leave anytime after,informdestinationtrainiddepartureleaveat
could you please tell me the price and when it,informticketarriveby
i think thats everything i need thank you very,bye
i need a place to stay that has free,requestpricerange
im looking for something in the cheap price range but i need it to have a 4 star rating i dont need any parking,informchoice
ok yes if you could suggest one that comes with free parking that would be,inform
i also need a vietnamese,greet
oh yes please do i need it for 8 people and 5 nights beginning,requestarea
i just want the restaurant to be in the same price range as my,informpricerangeareafoodnamechoice
no just provide me with the address and area for that restaurant if you,informaddressarea
yes will you book me a taxi to the restaurant from the hotel,requestleaveat
i would like to leave the hotel by,informcarphone
thank you that will be,bye
im looking for a place to stay in,requeststarsareaparkingpricerangetypeinternet
id like a moderately priced hotel in the south with free,informnameaddress
you just gave me the address  does it have free,informparkinginternet
im looking for a chinese restaurant as well is there anything near the,select
i really need that to be in the,selectpricerangechoice
the lucky star would be just fine i need the postcode,informpostcode
thanks yes i will need a taxi from the hotel to the lucky star,requestarriveby
im not sure i just need to leave the hotel by,informphonecar
thanks for all of your help im all set now,bye
i am planning a trip in,greet
i need to find a train to arrive on saturday by 1145 going to cambridge from bishops,offerbook
yes i would like a ticket for one,offerbookreference
how much is the ticket going to cost me  do i pay,informticket
yes can you help me find places to go in,requesttype
yes what do you recommend for,recommendnamearea
ok great what type of entertainment is,informtype
of course  can you tell me the address and entrance fee,informfeeaddress
thank that is all i,bye
can you help me find a place to stay that is moderately priced and includes free,requeststarsarea
free parking and moderate,requestarea
yes can you check the north,selecttype
no preference i need someplace that can accommodate a party of 4 for 5 nights beginning,recommendnametypestarsaddress
yeah can you book it for 4 people and 5 nights i want to get there on,bookreference
ok  i need a train after 1400 on wednesday it needs to leave from london liverpool street and get to cambridge  i need the train id,offerbook
great that was all the info i needed today,bye
looking for a place to eat in the city,requestfood
id like to have some chinese,requestpricerange
i am looking for a moderately priced place to eat i am also looking to book a room in the bridge guest house,informname
before i commit i have a few questions what area is the hotel located,informarea
does it provide free,informinternetparking
ok 2 questions 1  what are the moderately priced restaurants in the center of town and 2  how many stars does the bridge guest house have,informstarsname
that was all the questions i had thank you very much for helping,bye
could you give me some information on getting a train to cambridge on thursday,requestdeparture
yes i want to leave london liverpool street sometime after,offerbookleaveat
yes can you book that for 2 people and give me a reference,offerbookreference
i am also looking for a expensive restaurant located in the,recommendname
sounds great can you reserve us a table same 2 people and on the same day wed like to eat at,booknamereferenceday
im looking for a restaurant that serves indian food located in the,selectpricerange
could you get me a table for sunday at someplace nice there will be 8 in my party and wed like to eat at,bookreference
that should do it for today thanks a lot have a good,bye
i guess try,informnamefoodpricerange
is it in the north if so can you reserve us a table for 3 on friday at 1745,requesttimeday
how about at,bookreference
im also looking for a place to stay that offers both internet and free,informchoice
hmm yes someplace,recommendnamearea
great can you make a reservation for three people for the three nights starting friday,requestday
no i need it to be friday  can we try it for a one night stay,booknamestaypeoplereference
im going to need a taxi as well from the hotel to the restaurant that arrives at 1645 could i get the contact number and car type for,informphonecar
no you have been most helpful have a nice,bye
i need a train to bishops stortford on tuesday that can get me there by,offerbook
can i get the price for,informticket
when does the train leave bishops stortford,informleaveat
okay thanks now could you also help me find a cheap persian restaurant in the,requestfood
how about asian,recommendname
yes book a table for 6 at 1600 on tuesday,book
ummm reference number,informreference
thank you so much you have been a great,welcome
i dont need anything else have a great,bye
hi can you point me to an expensive restaurant that serves italian food  i will be in the area,requestarea
yes i would like to book a reservation in the south for 2 people on friday,requesttime
yes i actually need a restaurant in the centre for three people on wednesday at,requesttimeday
can you try,bookreferencename
thank you can you book me a train arriving the same day as i am going to the,requestdestinationdeparture
im coming to cambridge from london liverpool,requestleaveatarriveby
i would like to arrive by 1000 and i would like to book it for the same quantity of people as in the restaurant i also would like the reference,offerbookpeoplereferenceleaveatticketarrivebydestinationtrainiddeparture
thank you,bye
where would i find the cambridge belfry,informareanamestars
id like you to book a stay please for 8,requestdaystay
we will be coming in on wednesday for 2,bookreferencenamepeople
yes i need a train from cambridge to leicester that arrives by 1215 on,requestleaveat
no it doesnt matter id like the booking for the same number of people as my,offerbookreference
no that is all thank you very much for your,bye
i am looking for an attraction in the centre that has multiple,recommendopenname
old school is the multiple sports attraction great name whats the,informaddress
yes can you help me find a cheap place to,requestfood
before we move on may i get the postcode of old school also id like to find some information on hotel express by holiday inn cambridge rather than,informpostcode
book for 2 people and 5 nights from,bookreference
thanks again finally i need a taxi between the hotel and the old school attraction,requestleaveat
the same day i want it to take me between the two places ill need to leave the hotel by,informphonecar
great youve handled all my needs for today thanks a ton,bye
hi id like to book a taxi from a and b guest house to saint catherines,requestleaveatarriveby
id like to arrive by 0600,informcarphone
that will be all,bye
i am looking for a place to stay that is a 2 star hotel on the east,informareanamestars
is it expensive and does it have free,informpricerangeparking
okay great whats the address and postcode for that,informaddresspostcode
can i have their phone number,informphone
no thank you thats all i,greet
it needs to be 2 star have free parking and free,requestareapricerange
i do not have a preference please pick one and get me a booking for 8 people for 3 nights staring from,bookreferencename
i also need a train that should leave after 1645 destination  bishops,informleaveat
i need to travel on monday departing cambridge does that make a,offerbook
yes i need 8 tickets and could you provide the reference,offerbookticketreference
no thanks that will be,welcome
i am looking for a hotel in the moderate price,informareanamechoicepricerangetype
do any of those have a star of,informinternetparkingnamestars
may i have the phone numbers for those,informphonename
yes i am also looking for somewhere to go that would be in the same area as the,requesttype
i think ill try the park  where is,informaddress
yes please and a,informpostcodephone
great i think thatll be all thanks a lot for your,bye
i could like to know what kind of attraction type it is its area and phone,informnametypephonearea
okay im also looking for a place to say  needs to be a guesthouse with free,requestarea
yes the north area,requeststarspricerange
i would prefer a 4 star can you recommend one and give me their price,requestparking
i do need,requestpricerange
sorry do you have any 4star guest houses available i dont care about the price range i just need to know what it,informchoice
do you have any in the,informpricerangechoice
thank you ill take the moderate price that is 4,informname
that would be fine do they offer free,inform
is free wifi offered,informinternet
can you help me find a train going to cambridge and arriving by,requestarrivebyday
the train should depart from norwich and should leave on,offerbook
how  much does it,informticket
how about a hotel,requesttype
yes try a different,informtype
yes that would be,informnamearea
ok well i do need a room someplace with internet and parking i need a room for 3 people 3,requestday
can you book that for 3 people for 3 nights the same day as the,requestday
we will be arriving on monday around,bookreference
no that was all i needed thank you so,bye
i need a train that is departing from cambridge and is leaving after,requestdestination
i need to go to stansted,requestarriveby
no i just need to leave cambridge after 1215 on,requestpeople
i am not sure yet what are the prices for,offerbook
no not at that timeim also looking for a guesthouse to stay in that includes free parking in the expensive price,requesttypepricerange
how about,informchoice
i have no more specific needs  can you select your favorite and tell me their area if they have internet and how many stars they,informstarsparkingnameareainternetpricerange
ok thats all the information i need thank you for your,welcome
i would like a moderately priced restaurant in the north part of,informareaaddressname
is there anything else in the moderate price range on the north part of,informpricerangeaddressnamefoodphonearea
no thank you thats all i,bye
i am looking for a guesthouse with free,requestareapricerange
yes i would like a place in the north and in the moderate price,informchoicetype
i need a hotel starting thursday for 3 nights for 2,informstarsparkingtypeinternet
can you try another hotel in the same,informreference
that would be all thanks for,bye
yes i need a train from cambridge to kings lynn on friday ill be traveling after,offerbook
yes please i would like to book it for 6 people,offerbookreferencepeopleticket
yes i am also looking for information on a restaurant called tang,requestarea
can you book me a table for 6 on friday at,bookpeoplereferenceday
thank you so much for all of your help that is all i needed for,bye
i am looking for a place to stay with free wifi and at least a 3 star,informnameinternetstars
can you confirm if the bridge guesthouse also has free parking and is in the east,requestarea
the bridge guest house would be just fine can i get the address phone and postcode,informaddresspostcodephone
i cant wait to get there and see some of the local attractions  i am looking for a place to stay  can you help,requesttype
i would like a moderate priced guesthouse please it also needs to have 4 stars and free,requestarea
i am pretty indecisive so none  can you pick a 4 star place and book me for 3 people and 2 nights starting on,bookreferencedaystaynamepeople
awesome thanks a lot thats all i needed help with,welcome
hello i need a place to bed down for the night that offers free parking and wifi can you help,requestareapricerange
i would like a moderate priced hotel in any part of town,informpricerangenamechoicetypeareastars
yes please book the ashley,requestday
on second thought im not ready to book yet could you give me the address and phone number of the ashley,informphoneaddress
thank you for your help if i need anything else i will certainly call,bye
i am looking for a place to visit in the centre of,informareachoice
no matter can you just recommend,recommendname
i need the phone number and,informaddresspostcode
could i get the phone number as,informphone
i also need a train leaving from cambridge on,requestdestination
i will be travelling to,informtickettrainid
im looking for a place to go with architecture in the,recommendname
that sounds lovely could i get the phone number and postal code,informpostcodephone
thank you can you help me find a restaurant by the name of loch,informfoodnameareapricerange
how about,booknametimereference
no thank you for your,greet
im looking for a train leaving on sunday that is going to,requestdepartureleaveat
i want to depart from london kings cross after,offerbook
no i would like to book at a later time but can i please get the train,informtrainidleaveat
i am also looking for a place to stay i would like the hotel to have free parking and free,informinternetparkingchoice
yes i would like a guesthouse with a 0 star,selectname
el shaddai sounds fine i need to reserve it for two adults for two nights,requestday
sunday  could you please send me the reference,requeststayday
how about just one night instead may i have the reference number,bookreference
no thats all,bye
i need information on a swimmingpool to,informareatypechoice
were going to be in the centre so maybe that one can i get the postcode of that,informpostcode
i dont need their number but will you please book a table for 7 people at 1500 on,booktimereferencenamedaypeople
yes ill also need a taxi that will take me between the two places ill need to arrive at the restaurant by,informcarphone
thank you that is all i need,bye
im looking for a mediterranean restaurant near the centre of,select
is one of them in the cheap price,informname
great could i book a table of 5 for 1130 on wednesday if so please provide me with a reference,bookreference
thank you  is there any entertainment in the same area as the,requestareatype
yes can you please search for an attraction in the type of,requestpricerange
i dont mind an entrance fee could you actually give me the postcode for that,informaddresspostcodename
yes id like to book a taxi to go from the attraction to the,requestleaveat
i would like to leave corpus christi college in enough time to arrive at the restaurant at the booked time of,informarrivebyphonedestination
what is the cars contact number and,informcarphone
thats everything thank,bye
i need a moderately prices two start hotel in the north with wifi can you,requestparking
no i just misspoke im looking for a moderately priced spanish,recommendnamepricerangeareafood
i would like a table on,inform
yes i need the reference number and would like to know of some places to visit in the same,greet
1215 on sunday for 2,requesttype
i dont need an attraction  i am done for now  thank,bye
could i get the address for the one in the,informnameaddress
i need its address and phone,informaddressphonepostcode
how about italian,select
i dont have a price preference  which would you,recommendname
yes i need it for friday 2000 for 7 people  i need a reference number  i need a taxi betweentwo places before 2000  contact  and car,booktimereference
thanks please also help me find a,requestdestinationdeparture
ill be going from the park to the,informcarphone
ok thanks so much for the,bye
i will with the lovely day planned thanks again,bye
im looking for a train going to ely,requestday
it will be for,requestleaveat
i just need to arrive by,informarrivebychoice
whats the travel time  knowing that will help me select on a,informtime
when is the departure time for,offerbook
no thats it ,bye
yes i am looking to book a train to cambridge this,requestdeparture
i will be departing from leicester i need to reach cambridge by,offerbookarrivebydestinationleaveatdeparturetrainid
yes i will also need the price,informtickettrainid
great thanks and im also looking for places to go in town which should be in the centre can you please,recommendfeename
that sounds interesting can you suggest something,recommendfeename
sure could you provide me the address for,informaddress
no i have everything i,bye
i would like to find an architectural attraction to go to in the centre can you help,informchoice
i would like to get the entrance fee and address of them,informnamefeechoice
yes that would be,informaddresspostcode
we are looking for a place to dine preferably expensive italian food in the same area as the attraction what do you suggest i need an address and postcode,recommendname
can you book it for me and get a reference number,requestpeopledaytime
i do not need a reservation i need a postcode and address,informaddresspostcodename
nope thats it you have been oh so wonderful thank,bye
im trying to find an italian restaurant in the city,requestpricerange
i would like a expensive price,informchoicename
that sounds interesting actually  can you give me the address and phone number,informphoneaddress
great can i also get some information on the huntingdon marriott,informinternetparkingstarsnamepricerangearea
yes actually what is the postcode of caffee,informpostcodename
can i get a taxi to take me from the restaurant to the,requestleaveat
i am wanting to leave the restaurant by 1145 once the taxi is booked can i have the contact number and car,informphonecar
perfect thanks thats it for today,bye
the hotel should include free parking and should be in the,informnamechoice
i need a reservation for 4 people for 5 nights starting on,bookreferencename
no that is perfect thank you very,welcome
thanks thats all good,bye
hi im coming into town and looking for some things to do and places to go on the south side of cambridge  do you have any,informtypechoice
sure a park would be great  can you provide a phone number and address,informnamepostcodephoneaddress
first of all i need a train to get there from london kings cross can you help find,requestleaveatday
ill be leaving on thursday and i need to arrive by,requestleaveat
anytime that gets me in by,offerbook
yes please for 6,offerbookreference
thanks for your help,bye
i am happy this is the,bye
no i think their general number should be enough thank you,bye
great thank you for your help i dont need anything,bye
i am looking for a particular,requestname
please look up yippee noodle,informpricerangeaddressareafoodphone
could i make a reservation for tuesday for 7 people at,bookreference
yes i am also looking for a place to stay that has moderate,recommendnamepricerangearea
i need something in the north with free wifi and free,informareachoiceinternettypeparking
i would love if you could suggest one  it can be so,recommendname
what is the address and how many stars is it,informaddressstarsname
thank you for the address and star rating of acorn guest,informname
no that will be all thank,bye
yes id like some information on finding a particular restaurant the restaurant should serve a variety of jamaican food and ideally id like it to be located in the south,requestareafood
how about one that serves italian,select
can you find me another restaurant int he same area and price range,informname
yes please try booking that for,bookreferencename
thank you so much for all of your help that will be,bye
im looking for a thai restaurant on the west,select
yes please could you book it for 5 people on,requesttime
i would like a table for,requesttime
yes please find me another restaurant in the same price range on the west,informnameareafoodpricerange
ok that would be fine can you please send me the reference,bookreference
no that is all thank you ,bye
im looking for a,informareatypechoice
thank you i also need a train from london kings cross to,requestleaveatday
i need to travel saturday and get there by,offerbook
i need 6 tickets and the reference,offerbookreferenceticket
thanks for all the,bye
hi there  im looking for a particular hotel called the a and b guest,inform
i need to book the hotel for 2 people for 2 nights starting on,bookreference
ok thank you i am also looking for a train for monday that leaves after 1015 could you help me with,requestdestinationdeparture
from cambridge to kings lynn,requestpeople
i would like 2 tickets,offerbookreferenceticket
thank you that will be everything i need,bye
im looking for a place to dine on the south side of town please find a place thats in the expensive price,selectfood
do you have a favorite you could recommend i will need the phone and postcode and food type also,recommendnamephonepostcodefood
no that will be it thank you for your,bye
can you help me find a train departing from norwich leaving on,requestarrivebydestination
i am traveling to cambridge of course i can leave norwich anytime after,selecttrainidleaveat
yes that would be fine ill need it booked for 3 people ill also need the reference number,offerbookreferencepeopleday
yes im also looking for a place to stay in the north that has free,requestpricerange
the hotel should be in the moderate price range and should have a star of,recommendname
sure thanks will you please book it for the same group of 4 for 5 nights starting,bookreference
that is all thank,bye
no thats ok i have everything i need now thanks very much for your,bye
im looking for a train to london king cross leaving,requestarrivebyleaveat
i will be coming from cambridge and would like to arrive by,informarrivebyleaveattrainid
yes how much will the ticket,offerbook
not yet im looking for a place to stay id prefer a guesthouse with four stars can you find,informchoice
are there any in the north and in a moderate price,requestparking
yes id like free parking could you give me the postcode for,recommendname
no thank you that was all the information i,welcome
that is everything no further assistance,bye
i am looking for a hotel called the el shaddai in,informareanameinternetpricerangeparkingtype
what is the rating of this,informstars
i am also looking for a train departing norwich going to,requestleaveatday
friday leaving after 0915,requestleaveat
tr2365 will be fine  book it,requestpeople
i just need the travel time,informtime
perfect thats all i need thank,bye
id like a european food place in the west,recommendname
yes please  i would like a table for 2 on thursday at,book
yes please and then i will need you to help me find a place to,selecttype
actually either is fine but i would like something moderately priced that offers free,recommendnamepricerangearea
what amenities does the ashley hotel have  i need free parking free wifi and 4,informinternetparkingstars
yes please search for something that is four,selecttypestars
okay how about a 3,informchoicestarstype
i would have liked a hotel but if there is none then a guesthouse works for,select
i need their info address and phone,informaddressphonepostcode
yes i need a taxi from the hotel to the restaurant please i need to get there by the reservation,informcar
thnks alot you have been of,welcome
i just need the contact number for the taxi,informphonecar
no that should be all for,greet
i like you no,bye
can you help me find arbury lodge guesthouse,informaddress
yes i need to know whether they have free parking star of the hotel and phone,informphonetypeparkingnamestars
yes im also looking for a restaurant id like it to serve expensive bistro,requestfood
is there a cheaper,requestfood
what is the address and post code of the arbury lodge,informaddresspostcode
sorry for digressing i am still looking for an expensive thai restaurant in the center of town can you,recommendname
can i get their address and postcode,informpostcodeaddress
thank you i would also like to book a taxi,requestdeparturedestination
thanks for the,informname
no thank,bye
i need a train out of london kings cross please im headed to,requestday
i need to get there at 0945 on,informarrivebytrainid
yes ill need one,offerbookreference
thanks im also looking for places to go in the,recommendname
what is their entrance,informfeephone
ok thank you thats all i need,bye
